"","hit","px","pz"
"836",2,-98.11,45.315
"837",2,-97.135,48.105
"838",1,-96.65,46.645
"839",2,-80.35,41.76
"840",3,-100.275,46.4
"841",4,-96.9,46.5
"842",3,-96.615,46.395
"843",4,-102.125,48.58
"844",1,-101.225,46.86
"845",2,-98.9,41.28
"846",1,-98.49,40.93
"847",2,-104.715,40.55
"848",2,-98.985,40.815
"849",2,-89.465,43.96
"850",1,-98.005,32.96
"851",2,-84.255,42.125
"852",1,-95.915,36.085
"853",2,-79.355,34.35
"854",2,-75.045,38.54
"855",0,-84.905,44.5
"856",0,-84.15,33.215
"857",2,-90.335,39.685
"858",1,-93.435,45.81
"859",2,-99.315,41.69
"860",1,-99.8,41.995
"861",1,-97.925,40.265
"862",1,-92.785,38.575
"863",1,-89.995,38.675
"864",1,-89.465,38.39
"865",2,-74.04,40.31
"866",1,-85.9,31.335
"867",2,-85.705,31.37
"868",0,-72.315,43.3
"869",1,-71.895,42.295
"870",2,-92.565,35.66
"871",3,-91.74,35.6
"872",1,-89.725,38.075
"873",3,-91.05,35.91
"874",2,-93.875,36.09
"875",3,-84.77,40.1
"876",3,-84.7,40.1
"877",3,-84.7,40.1
"878",2,-91.865,36.685
"879",2,-89.225,37.44
"880",1,-90.565,40.035
"881",2,-88.685,41.065
"882",3,-92.265,35.265
"883",1,-91.675,30.665
"884",2,-93.94,30.1
"885",0,-98.42,31.85
"886",3,-92.715,35.295
"887",2,-91.865,36.075
"888",3,-88.6,33.815
"889",1,-88.495,34.925
"890",3,-87.21,35.15
"891",1,-88.78,33.6
"892",2,-85.105,34.785
"893",1,-93.725,37.34
"894",4,-90.22,38.535
"895",4,-90.595,38.475
"896",0,-94.96,34.035
"897",4,-89.895,38.56
"898",2,-87.865,38.765
"899",2,-87.19,38.8
"900",2,-89.49,36.67
"901",1,-86.09,39.45
"902",3,-86.525,36.51
"903",2,-86.035,42.96
"904",2,-88.735,40.63
"905",3,-87.935,40.68
"906",4,-85.585,40.585
"907",2,-83.045,38.95
"908",2,-85.355,36.405
"909",1,-85.4,31.19
"910",1,-94.24,40.455
"911",3,-98.51,38.555
"912",3,-98.545,36.79
"913",2,-97.815,36.675
"914",3,-98.495,38.475
"915",1,-97.005,38.1
"916",3,-96.1,38.885
"917",2,-96.69,36.475
"918",4,-96.425,37.46
"919",4,-96.895,36.91
"920",3,-96.8,35.74
"921",4,-96.35,37.55
"922",2,-95.805,40.385
"923",4,-94.695,36.96
"924",4,-94.87,36.885
"925",4,-94.685,37.025
"926",1,-94.43,36.55
"927",4,-94.51,37.1
"928",2,-90.275,43.125
"929",2,-89.425,44.365
"930",4,-88.86,43.99
"931",2,-89.635,33.965
"932",2,-87.655,38.75
"933",3,-87.575,37.67
"934",2,-88.69,40.115
"935",5,-85.765,43.01
"936",4,-88.395,35.64
"937",1,-88.46,39.665
"938",4,-85.93,44.67
"939",3,-85.725,42.605
"940",2,-88.79,33.59
"941",2,-86.35,41.145
"942",3,-96.325,30.68
"943",1,-91.64,32.325
"944",2,-82.355,34.165
"945",1,-80.8,35.2
"946",2,-78.945,35.525
"947",3,-97.835,36.39
"948",3,-97.6,36.265
"949",2,-98.375,36.25
"950",1,-96.94,36.215
"951",3,-80.18,26.035
"952",4,-86.8,33.565
"953",2,-84.5,34.05
"954",2,-90.26,41.48
"955",2,-92.3,42
"956",1,-89.125,41.48
"957",1,-89.125,41.47
"958",2,-90.73,39.98
"959",3,-97.04,40.365
"960",1,-97.655,35.095
"961",2,-95.835,34.19
"962",1,-89.66,39.215
"963",1,-89.115,39.735
"964",1,-89.06,38.45
"965",3,-90.75,34.565
"966",1,-87.545,37.17
"967",1,-97.115,31.63
"968",3,-86.525,31.61
"969",2,-84.15,33.075
"970",1,-81.135,32.765
"971",0,-119.115,46.15
"972",2,-97.845,43.025
"973",2,-98.435,40.655
"974",1,-96.335,41.5
"975",2,-95.76,43.66
"976",2,-85.045,43.475
"977",2,-84.51,43.285
"978",2,-84.75,43.065
"979",0,-83.325,42.4
"980",2,-84.09,43.315
"981",2,-83.675,42.535
"982",2,-83.66,42.535
"983",4,-83.615,42.985
"984",4,-83.15,42.235
"985",1,-95.975,41.265
"986",1,-90.06,42.37
"987",1,-92.415,39.8
"988",0,-106.215,35.09
"989",0,-99.885,33.35
"990",0,-99.885,33.29
"991",1,-101.515,37.96
"992",1,-94.215,42.815
"993",1,-96.63,39.935
"994",2,-96.845,40.07
"995",2,-94.915,41.365
"996",1,-97.8,40.605
"997",1,-83.35,31.015
"998",2,-97.57,40.46
