"","ab_id","px","pz","des","pitch_id","id","type","stand","batter","hit"
"8523",981041,0.293,2.897,"Foul",3693020,206,"S","R",425509,0
"8524",1055746,-0.523,2.764,"Foul",3978266,319,"S","R",425509,0
"8525",1055772,-0.157,2.247,"Foul",3978362,751,"S","R",425509,0
"8526",1056944,0.237,2.436,"Foul",3982850,356,"S","R",425509,0
"8527",1058831,-0.61,2.07,"In play, out(s)",3990201,330,"X","R",425509,0
"8528",1079349,-0.077,3.017,"Swinging Strike",4069036,569,"S","R",425509,0
"8529",1079411,-0.634,2.58,"In play, out(s)",4069282,396,"X","R",425509,0
"8530",1114556,0.429,2.639,"In play, out(s)",4203807,110,"X","R",425509,0
"8531",1114610,0.634,3.122,"In play, no out",4204005,412,"X","R",425509,1
"8532",1115567,-0.685,1.459,"Swinging Strike",4207634,424,"S","R",425509,0
"8533",1115577,-0.36,2.227,"In play, no out",4207662,320,"X","R",425509,1
"8534",1115599,0.002,2.426,"In play, out(s)",4207742,141,"X","R",425509,0
"8535",1117050,0.042,2.203,"In play, out(s)",4213330,351,"X","R",425509,0
"8536",1117078,-0.604,2.679,"Foul",4213426,580,"S","R",425509,0
"8537",1117089,0.26,2.157,"In play, out(s)",4213470,70,"X","R",425509,0
"8538",1124741,0.306,2.1,"In play, no out",4242907,92,"X","R",425509,1
"8539",1124810,0.432,2.906,"In play, out(s)",4243166,539,"X","R",425509,0
"8540",1127302,0.032,2.936,"In play, out(s)",4252577,371,"X","R",425509,0
